list-card-addr,list-card-price,json_data,list-card-details,list-card-label 2,list-card-variable-text,list-card-link href 2,list-card-link src,json_data,list-card-extra-info,list-card-details 2,list-card-details 3,list-card-label 3,list-card-statusText,j
"171 Greenpoint Ave #4, Brooklyn, NY 11222","$1,899/mo",bd,1,ba,33 days ago,https://www.zillow.com/homedetails/171-Greenpoint-Ave-4-Brooklyn-NY-11222/2075165801_zpid/,https://photos.zillowstatic.com/fp/4f5e5fe125c531cc2b428719dd693bef-p_e.jpg,"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""171 Greenpoint Ave #4, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""171 Greenpoint Ave #4"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.730549,""longitude"":-73.952849},""url"":""https://www.zillow.com/homedetails/171-Greenpoint-Ave-4-Brooklyn-NY-11222/2075165801_zpid/""}","LISTING BY: PROPER REAL ESTATE, LLC",1,--,sqft,#NAME?,Save this home
"140 Bayard St #2, Brooklyn, NY 11222","$3,000/mo",bds,2,ba,33 days ago,https://www.zillow.com/homedetails/140-Bayard-St-2-Brooklyn-NY-11222/2075168139_zpid/,https://photos.zillowstatic.com/fp/7156baea4fd3427c76c785eb52a0014a-p_e.jpg,"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""140 Bayard St #2, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""750""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""140 Bayard St #2"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.719675,""longitude"":-73.946373},""url"":""https://www.zillow.com/homedetails/140-Bayard-St-2-Brooklyn-NY-11222/2075168139_zpid/""}",LISTING BY: THEREALESTATECOMPANY.COM LLC (718-839-3463),1,750,sqft,#NAME?,Save this home
"215 India St APT 3L, Brooklyn, NY 11222","$1,899/mo",bd,1,ba,33 days ago,https://www.zillow.com/homedetails/215-India-St-APT-3L-Brooklyn-NY-11222/2087024258_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""215 India St Apt 3l, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""215 India St APT 3L"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.732857,""longitude"":-73.951282},""url"":""https://www.zillow.com/homedetails/215-India-St-APT-3L-Brooklyn-NY-11222/2087024258_zpid/""}",LISTING BY: BROOKLYN REAL ESTATE SERVICES (917-443-7133),1,--,sqft,#NAME?,Save this home
"445 Meeker Ave APT 3R, Brooklyn, NY 11222","$3,500/mo",bds,4,ba,Open: Thu. 8am-8:45pm,https://www.zillow.com/homedetails/445-Meeker-Ave-APT-3R-Brooklyn-NY-11222/2093569337_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""445 Meeker Ave Apt 3r, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""445 Meeker Ave APT 3R"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.719538,""longitude"":-73.946},""url"":""https://www.zillow.com/homedetails/445-Meeker-Ave-APT-3R-Brooklyn-NY-11222/2093569337_zpid/""}",LISTING BY: BROOKLYN GROUP,2,--,sqft,#NAME?,Save this home
"886 Manhattan Ave #4RT, Brooklyn, NY 11222","$2,550/mo",bds,2,ba,35 days ago,https://www.zillow.com/homedetails/886-Manhattan-Ave-4RT-Brooklyn-NY-11222/2075267074_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""886 Manhattan Ave #4rt, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""886 Manhattan Ave #4RT"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.729889,""longitude"":-73.953801},""url"":""https://www.zillow.com/homedetails/886-Manhattan-Ave-4RT-Brooklyn-NY-11222/2075267074_zpid/""}","LISTING BY: PROPER REAL ESTATE, LLC (718-389-5833)",2,--,sqft,#NAME?,Save this home
"166 Eagle St #2D, Brooklyn, NY 11222","$2,510/mo",bds,2,ba,35 days ago,https://www.zillow.com/homedetails/166-Eagle-St-2D-Brooklyn-NY-11222/2075309787_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""166 Eagle St #2d, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""166 Eagle St #2D"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.735048,""longitude"":-73.953951},""url"":""https://www.zillow.com/homedetails/166-Eagle-St-2D-Brooklyn-NY-11222/2075309787_zpid/""}",LISTING BY: THE HAMILTON GROUP (845-517-7251),1,--,sqft,#NAME?,Save this home
"344 Mcguinness Blvd #3E, Brooklyn, NY 11222","$2,945/mo",bds,3,ba,35 days ago,https://www.zillow.com/homedetails/344-Mcguinness-Blvd-3E-Brooklyn-NY-11222/2075309795_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""344 Mcguinness Blvd #3e, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""344 Mcguinness Blvd #3E"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.734336,""longitude"":-73.951981},""url"":""https://www.zillow.com/homedetails/344-Mcguinness-Blvd-3E-Brooklyn-NY-11222/2075309795_zpid/""}",LISTING BY: THE HAMILTON GROUP (845-517-7251),1.5,--,sqft,#NAME?,Save this home
"195 Calyer St APT 2L, Brooklyn, NY 11222","$2,799/mo",bds,2,ba,36 days ago,https://www.zillow.com/homedetails/195-Calyer-St-APT-2L-Brooklyn-NY-11222/2084501654_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""195 Calyer St Apt 2l, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""195 Calyer St APT 2L"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.728507,""longitude"":-73.952836},""url"":""https://www.zillow.com/homedetails/195-Calyer-St-APT-2L-Brooklyn-NY-11222/2084501654_zpid/""}",LISTING BY: BROOKLYN REAL ESTATE SERVICES (917-443-7133),2,--,sqft,#NAME?,Save this home
"527 Leonard St APT 3, Brooklyn, NY 11222","$2,500/mo",bds,2,ba,38 days ago,https://www.zillow.com/homedetails/527-Leonard-St-APT-3-Brooklyn-NY-11222/2076717105_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""527 Leonard St Apt 3, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""550""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""527 Leonard St APT 3"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.722983,""longitude"":-73.949624},""url"":""https://www.zillow.com/homedetails/527-Leonard-St-APT-3-Brooklyn-NY-11222/2076717105_zpid/""}",LISTING BY: APPLE EXCLUSIVE REALTY INC,2,550,sqft,#NAME?,Save this home
"971 Manhattan Ave #4, Brooklyn, NY 11222","$1,950/mo",bd,1,ba,39 days ago,https://www.zillow.com/homedetails/971-Manhattan-Ave-4-Brooklyn-NY-11222/2075700375_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""971 Manhattan Ave #4, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""600""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""971 Manhattan Ave #4"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.732408,""longitude"":-73.954943},""url"":""https://www.zillow.com/homedetails/971-Manhattan-Ave-4-Brooklyn-NY-11222/2075700375_zpid/""}",LISTING BY: GREENPOINT PROPERTIES (347-244-4239),1,600,sqft,#NAME?,Save this home
"570 Morgan Ave APT 3L, Brooklyn, NY 11222","$2,100/mo",bds,3,ba,39 days ago,https://www.zillow.com/homedetails/570-Morgan-Ave-APT-3L-Brooklyn-NY-11222/2095630453_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""570 Morgan Ave Apt 3l, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""570 Morgan Ave APT 3L"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.724063,""longitude"":-73.939188},""url"":""https://www.zillow.com/homedetails/570-Morgan-Ave-APT-3L-Brooklyn-NY-11222/2095630453_zpid/""}",LISTING BY: GOTHAM RENTALS & SALES LLC,1,--,sqft,#NAME?,Save this home
"187 Eagle St FLOOR 2, Brooklyn, NY 11222","$2,500/mo",bds,2,ba,40 days ago,https://www.zillow.com/homedetails/187-Eagle-St-FLOOR-2-Brooklyn-NY-11222/2075383734_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""187 Eagle St Floor 2, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""187 Eagle St FLOOR 2"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.735571,""longitude"":-73.953037},""url"":""https://www.zillow.com/homedetails/187-Eagle-St-FLOOR-2-Brooklyn-NY-11222/2075383734_zpid/""}",LISTING BY: BALIS REALTY CORP. (718-812-2945),1,--,sqft,#NAME?,Save this home
"83 Greenpoint Ave #D4, Brooklyn, NY 11222","$1,825/mo",bds,--,ba,41 days ago,https://www.zillow.com/homedetails/83-Greenpoint-Ave-D4-Brooklyn-NY-11222/2075403803_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""83 Greenpoint Ave #d4, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""83 Greenpoint Ave #D4"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.730178,""longitude"":-73.956994},""url"":""https://www.zillow.com/homedetails/83-Greenpoint-Ave-D4-Brooklyn-NY-11222/2075403803_zpid/""}",LISTING BY: CORCORAN,1,--,sqft,#NAME?,Save this home
"189 Norman Ave APT 15, Brooklyn, NY 11222","$1,600/mo",bds,--,ba,41 days ago,https://www.zillow.com/homedetails/189-Norman-Ave-APT-15-Brooklyn-NY-11222/2099390835_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""189 Norman Ave Apt 15, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""285""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""189 Norman Ave APT 15"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.727362,""longitude"":-73.946639},""url"":""https://www.zillow.com/homedetails/189-Norman-Ave-APT-15-Brooklyn-NY-11222/2099390835_zpid/""}",LISTING BY: AB NORMAN ASSOCIATES INC,1,285,sqft,#NAME?,Save this home
"967 Manhattan Ave, Brooklyn, NY 11222","$2,200/mo",bds,2,ba,47 days ago,https://www.zillow.com/homedetails/967-Manhattan-Ave-Brooklyn-NY-11222/30619901_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""967 Manhattan Ave, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,000""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""967 Manhattan Ave"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.732146,""longitude"":-73.954817},""url"":""https://www.zillow.com/homedetails/967-Manhattan-Ave-Brooklyn-NY-11222/30619901_zpid/""}",LISTING BY: ULAS REAL ESTATES INC (718-389-4515),1,"1,000",sqft,#NAME?,Save this home
"598 Humboldt St #2, Brooklyn, NY 11222","$1,849/mo",bds,2,ba,48 days ago,https://www.zillow.com/homedetails/598-Humboldt-St-2-Brooklyn-NY-11222/2077140975_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""598 Humboldt St #2, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""800""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""598 Humboldt St #2"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.722374,""longitude"":-73.944623},""url"":""https://www.zillow.com/homedetails/598-Humboldt-St-2-Brooklyn-NY-11222/2077140975_zpid/""}","LISTING BY: PROPER REAL ESTATE, LLC (718-389-5833)",1,800,sqft,#NAME?,Save this home
"5 Sutton St #1RR, Brooklyn, NY 11222","$2,600/mo",bds,2,ba,49 days ago,https://www.zillow.com/homedetails/5-Sutton-St-1RR-Brooklyn-NY-11222/2075650059_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""5 Sutton St #1rr, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""5 Sutton St #1RR"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.723046,""longitude"":-73.94055},""url"":""https://www.zillow.com/homedetails/5-Sutton-St-1RR-Brooklyn-NY-11222/2075650059_zpid/""}",LISTING BY: MNS,1,--,sqft,#NAME?,Save this home
"40 Jewel St APT 2, Brooklyn, NY 11222","$2,400/mo",bd,1,ba,54 days ago,https://www.zillow.com/homedetails/40-Jewel-St-APT-2-Brooklyn-NY-11222/2111597398_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""40 Jewel St Apt 2, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""750""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""40 Jewel St APT 2"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.726743,""longitude"":-73.946219},""url"":""https://www.zillow.com/homedetails/40-Jewel-St-APT-2-Brooklyn-NY-11222/2111597398_zpid/""}",LISTING BY: WIRE INTERNATIONAL REALTY (347-446-4937),1,750,sqft,#NAME?,Save this home
"12 Eckford St #3B, Brooklyn, NY 11222","$2,830/mo",bds,--,ba,54 days ago,https://www.zillow.com/homedetails/12-Eckford-St-3B-Brooklyn-NY-11222/2079717751_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""12 Eckford St #3b, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""422""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""12 Eckford St #3B"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.720565,""longitude"":-73.94782},""url"":""https://www.zillow.com/homedetails/12-Eckford-St-3B-Brooklyn-NY-11222/2079717751_zpid/""}",LISTING BY: HEATHERWOOD COMMUNITIES (833-588-1408),1,422,sqft,#NAME?,Save this home
"214 Kingsland Ave APT 1L, Brooklyn, NY 11222","$2,070/mo",bds,2,ba,55 days ago,https://www.zillow.com/homedetails/214-Kingsland-Ave-APT-1L-Brooklyn-NY-11222/2076913287_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""214 Kingsland Ave Apt 1l, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,000""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""214 Kingsland Ave APT 1L"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.724186,""longitude"":-73.941103},""url"":""https://www.zillow.com/homedetails/214-Kingsland-Ave-APT-1L-Brooklyn-NY-11222/2076913287_zpid/""}",LISTING BY: FERRIS PROPERTIES CORP. (718-383-7800),1,"1,000",sqft,#NAME?,Save this home
"18 Russell St, Brooklyn, NY","$2,395 ",1 bd,"$2,395 ",2 bds,55 days ago,https://www.zillow.com/b/18-russell-st-brooklyn-ny-5ZSLpW/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,,,,,,
"88 Clay St #2B, Brooklyn, NY 11222","$2,400/mo",bds,2,ba,56 days ago,https://www.zillow.com/homedetails/88-Clay-St-2B-Brooklyn-NY-11222/2076638055_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""88 Clay St #2b, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""88 Clay St #2B"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.736416,""longitude"":-73.954721},""url"":""https://www.zillow.com/homedetails/88-Clay-St-2B-Brooklyn-NY-11222/2076638055_zpid/""}",LISTING BY: NATIVE REAL ESTATE LLC (347-348-6137),1,--,sqft,#NAME?,Save this home
"155 Mcguinness Blvd #1, Brooklyn, NY 11222","$1,740/mo",bd,1,ba,60 days ago,https://www.zillow.com/homedetails/155-Mcguinness-Blvd-1-Brooklyn-NY-11222/2076651536_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""155 Mcguinness Blvd #1, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""750""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""155 Mcguinness Blvd #1"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.727575,""longitude"":-73.950187},""url"":""https://www.zillow.com/homedetails/155-Mcguinness-Blvd-1-Brooklyn-NY-11222/2076651536_zpid/""}","LISTING BY: DOLORES BUONOCORE, LREB",1,750,sqft,#NAME?,Save this home
"527A Humboldt St #2, Brooklyn, NY 11222","$2,300/mo",bds,2,ba,62 days ago,https://www.zillow.com/homedetails/527A-Humboldt-St-2-Brooklyn-NY-11222/2076680391_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""527a Humboldt St #2, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""527A Humboldt St #2"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.721207,""longitude"":-73.944941},""url"":""https://www.zillow.com/homedetails/527A-Humboldt-St-2-Brooklyn-NY-11222/2076680391_zpid/""}",LISTING BY: DOUGLAS ELLIMAN (718-486-4491),1,--,sqft,#NAME?,Save this home
"155 Newton St #R2, Brooklyn, NY 11222","$3,000/mo",bds,3,ba,63 days ago,https://www.zillow.com/homedetails/155-Newton-St-R2-Brooklyn-NY-11222/2076691618_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""155 Newton St #r2, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""155 Newton St #R2"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.721242,""longitude"":-73.946087},""url"":""https://www.zillow.com/homedetails/155-Newton-St-R2-Brooklyn-NY-11222/2076691618_zpid/""}",LISTING BY: BRICK&MORTAR (347-623-2475),1,--,sqft,#NAME?,Save this home
"93 Greenpoint Ave APT 4L, Brooklyn, NY 11222","$2,300/mo",bd,1,ba,69 days ago,https://www.zillow.com/homedetails/93-Greenpoint-Ave-APT-4L-Brooklyn-NY-11222/2095779465_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""93 Greenpoint Ave Apt 4l, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""93 Greenpoint Ave APT 4L"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.73022,""longitude"":-73.956551},""url"":""https://www.zillow.com/homedetails/93-Greenpoint-Ave-APT-4L-Brooklyn-NY-11222/2095779465_zpid/""}",LISTING BY: DOUGLAS ELLIMAN (718-486-4491),1,--,sqft,#NAME?,Save this home
